iter	Passed	Remaining
400	27955	6901
401	28013	6829
402	28072	6756
403	28132	6684
404	28189	6612
405	28247	6540
406	28307	6468
407	28365	6396
408	28424	6324
409	28481	6251
410	28538	6179
411	28596	6108
412	28660	6037
413	28718	5965
414	28778	5894
415	28838	5823
416	28896	5751
417	28955	5680
418	29014	5608
419	29073	5537
420	29130	5466
421	29188	5395
422	29247	5324
423	29304	5252
424	29363	5181
425	29420	5110
426	29480	5040
427	29539	4969
428	29597	4898
429	29657	4827
430	29715	4757
431	29775	4686
432	29832	4616
433	29891	4545
434	29949	4475
435	30007	4404
436	30065	4334
437	30124	4264
438	30182	4193
439	30241	4123
440	30300	4053
441	30356	3983
442	30416	3913
443	30475	3843
444	30533	3773
445	30591	3703
446	30649	3634
447	30705	3564
448	30763	3494
449	30823	3424
450	30885	3355
451	30944	3286
452	31002	3216
453	31061	3147
454	31119	3077
455	31177	3008
456	31235	2938
457	31294	2869
458	31355	2800
459	31412	2731
460	31471	2662
461	31531	2593
462	31588	2524
463	31648	2455
464	31707	2386
465	31764	2317
466	31824	2248
467	31885	2180
468	31944	2111
469	32003	2042
470	32061	1974
471	32119	1905
472	32177	1836
473	32235	1768
474	32293	1699
475	32352	1631
476	32412	1562
477	32470	1494
478	32528	1426
479	32585	1357
480	32645	1289
481	32704	1221
482	32763	1153
483	32820	1084
484	32879	1016
485	32938	948
486	32996	880
487	33054	812
488	33113	744
489	33172	676
490	33230	609
491	33301	541
492	33375	473
493	33466	406
494	33565	339
495	33667	271
496	33740	203
497	33798	135
498	33860	67
499	33973	0
