iter	Passed	Remaining
400	14843	3664
401	14891	3630
402	14945	3597
403	14991	3562
404	15038	3527
405	15084	3492
406	15146	3460
407	15194	3426
408	15271	3397
409	15319	3362
410	15381	3330
411	15430	3295
412	15477	3260
413	15525	3225
414	15604	3196
415	15652	3160
416	15732	3131
417	15771	3093
418	15807	3055
419	15855	3020
420	15892	2982
421	15946	2947
422	15985	2909
423	16020	2871
424	16054	2833
425	16087	2794
426	16121	2756
427	16159	2718
428	16193	2680
429	16226	2641
430	16260	2603
431	16295	2565
432	16328	2526
433	16362	2488
434	16396	2450
435	16431	2411
436	16465	2373
437	16505	2336
438	16540	2298
439	16573	2260
440	16605	2221
441	16639	2183
442	16673	2145
443	16708	2107
444	16741	2069
445	16775	2031
446	16808	1992
447	16842	1954
448	16876	1916
449	16911	1879
450	16946	1841
451	16979	1803
452	17012	1765
453	17046	1727
454	17081	1689
455	17115	1651
456	17149	1613
457	17183	1575
458	17216	1537
459	17250	1500
460	17284	1462
461	17319	1424
462	17353	1386
463	17386	1348
464	17420	1311
465	17454	1273
466	17488	1235
467	17523	1198
468	17556	1160
469	17590	1122
470	17623	1085
471	17657	1047
472	17691	1009
473	17725	972
474	17760	934
475	17793	897
476	17827	859
477	17862	822
478	17897	784
479	17930	747
480	17965	709
481	17999	672
482	18032	634
483	18066	597
484	18100	559
485	18134	522
486	18169	485
487	18201	447
488	18235	410
489	18269	372
490	18306	335
491	18339	298
492	18372	260
493	18406	223
494	18440	186
495	18475	148
496	18511	111
497	18543	74
498	18577	37
499	18610	0
