iter	Logloss
0	0.6871311176
1	0.6816568543
2	0.67585443
3	0.6700691043
4	0.6644829197
5	0.6587811982
6	0.6532563828
7	0.648348917
8	0.6428468079
9	0.6374326856
10	0.632514617
11	0.6279649391
12	0.6235479711
13	0.6188542465
14	0.6141131227
15	0.6093334837
16	0.6050962957
17	0.600186293
18	0.5960046989
19	0.5916336211
20	0.5880016933
21	0.5842251547
22	0.5804904967
23	0.5768015627
24	0.57332098
25	0.5696958983
26	0.5662862491
27	0.5628665512
28	0.5593100329
29	0.5563776222
30	0.5534397321
31	0.5501966431
32	0.5468547187
33	0.54389208
34	0.5406229276
35	0.5376817167
36	0.5348185539
37	0.5319006967
38	0.5288198964
39	0.5259247626
40	0.5234932487
41	0.52143546
42	0.5192240766
43	0.5169133305
44	0.514619366
45	0.5122615602
46	0.5098940952
47	0.5077186002
48	0.5051582246
49	0.5031627256
50	0.5011410758
51	0.4992892273
52	0.4972665132
53	0.4948730311
54	0.4930025058
55	0.4909256789
56	0.4891391825
57	0.4873353873
58	0.4854044033
59	0.4836737753
60	0.4820833016
61	0.4804548893
62	0.4788407504
63	0.4774107734
64	0.4760501351
65	0.4744423415
66	0.472762065
67	0.4712354603
68	0.4696694053
69	0.4681281425
70	0.4665232818
71	0.4652046329
72	0.4640145559
73	0.4624623314
74	0.4612667443
75	0.4598923759
76	0.4587518567
77	0.4574941886
78	0.4559476017
79	0.4545212271
80	0.453339621
81	0.4521484226
82	0.4510286574
83	0.449798601
84	0.4486874332
85	0.4476974313
86	0.4464288221
87	0.4452654622
88	0.4443261812
89	0.4432958452
90	0.4421010274
91	0.4412430877
92	0.4400890603
93	0.438758497
94	0.4375406338
95	0.4364854115
96	0.4355508688
97	0.4345630182
98	0.4335187449
99	0.4327423605
100	0.4316288344
101	0.4305935193
102	0.4295621446
103	0.4288088327
104	0.4279881515
105	0.4272334486
106	0.4262693374
107	0.4254907856
108	0.424477011
109	0.4236064079
110	0.422962043
111	0.4220245655
112	0.4211788079
113	0.420397735
114	0.4195588884
115	0.4187143012
116	0.4178936559
117	0.4171402997
118	0.4161306836
119	0.4154185758
120	0.4147373324
121	0.4140730732
122	0.4132822612
123	0.4124995763
124	0.4120180127
125	0.411176039
126	0.4104821751
127	0.4096529638
128	0.4088349637
129	0.408224549
130	0.4076320654
131	0.4070764488
132	0.4064400812
133	0.4057435215
134	0.4051319865
135	0.404476997
136	0.4040157149
137	0.4034775555
138	0.4028201555
139	0.402160649
140	0.4015811647
141	0.4009536198
142	0.4003160704
143	0.3997451505
144	0.3992005902
145	0.3985998316
146	0.3981601835
147	0.3975706322
148	0.3970986837
149	0.3965582084
150	0.3959716684
151	0.3954426133
152	0.3949873886
153	0.3945586719
154	0.3941045096
155	0.3936161812
156	0.3930061882
157	0.3924329356
158	0.3919670971
159	0.3912435128
160	0.3906639943
161	0.390179859
162	0.3896743874
163	0.3892294182
164	0.3887460583
165	0.3882720322
166	0.3878104286
167	0.3873752909
168	0.3869173362
169	0.3864676155
170	0.3859311331
171	0.3855435424
172	0.3850741655
173	0.3846420346
174	0.3840012728
175	0.3835965632
176	0.3832737694
177	0.3828634446
178	0.3824953704
179	0.3820698492
180	0.3816176745
181	0.3812102948
182	0.3808491099
183	0.3804245895
184	0.380108572
185	0.3796593065
186	0.3793856102
187	0.3788105957
188	0.378444525
189	0.3779729985
190	0.377515496
191	0.3770664306
192	0.3767126605
193	0.3763193151
194	0.375961933
195	0.3754673238
196	0.3751535453
197	0.3747993218
198	0.3743904549
199	0.3740562395
200	0.3736369999
201	0.3732322168
202	0.3728469319
203	0.3724844051
204	0.3721123711
205	0.3717325015
206	0.3714234221
207	0.3711372087
208	0.3707687891
209	0.3704560518
210	0.3700769659
211	0.3696662469
212	0.3692922737
213	0.3689717052
214	0.3686653813
215	0.3682414208
216	0.3679211744
217	0.3674690138
218	0.3671548789
219	0.3667929069
220	0.3663737795
221	0.3661072835
222	0.36574462
223	0.3654838649
224	0.3650540535
225	0.3647562189
226	0.3644197881
227	0.3640955354
228	0.3638078434
229	0.3633968405
230	0.3631331052
231	0.362757251
232	0.3624684794
233	0.3621765566
234	0.3618439981
235	0.3615144852
236	0.3612577272
237	0.3609245574
238	0.3606234162
239	0.3602797175
240	0.3599979705
241	0.3596864989
242	0.3594340446
243	0.3590377439
244	0.3587973247
245	0.3585227705
246	0.3582759781
247	0.3580105585
248	0.3577782557
249	0.3575915355
250	0.3573486707
251	0.3571047903
252	0.3569050196
253	0.3566353612
254	0.3563620842
255	0.3561284929
256	0.3557564698
257	0.3554714247
258	0.3551967328
259	0.3549527335
260	0.3547221667
261	0.3545040298
262	0.3542718717
263	0.353990045
264	0.3536788276
265	0.3534215655
266	0.353200015
267	0.3529118682
268	0.3526790097
269	0.3523488999
270	0.3521107834
271	0.3517777808
272	0.3515463561
273	0.3512874862
274	0.3510246446
275	0.3507940138
276	0.3505272386
277	0.3502603048
278	0.3500702672
279	0.3498761668
280	0.3496548379
281	0.3494324293
282	0.3492032948
283	0.3489631548
284	0.3485847579
285	0.348334324
286	0.3481592958
287	0.3479179089
288	0.3477089257
289	0.3475061163
290	0.347231353
291	0.3470332002
292	0.3467943892
293	0.3465666786
294	0.3463087738
295	0.3459884485
296	0.3457162815
297	0.3454403063
298	0.345197842
299	0.3449543429
300	0.3447087458
301	0.3444666161
302	0.344219676
303	0.3440208915
304	0.3437771976
305	0.3435612028
306	0.3432613572
307	0.3430584934
308	0.3428296022
309	0.3425973281
310	0.3423538844
311	0.3421093144
312	0.3418592485
313	0.3416537943
314	0.3414502941
315	0.3412405517
316	0.340939385
317	0.3406752651
318	0.3405162543
319	0.3402969982
320	0.3401370845
321	0.3399172577
322	0.3396589293
323	0.339479693
324	0.3392644196
325	0.3390211151
326	0.3388227562
327	0.3386024841
328	0.3384064122
329	0.338199236
330	0.3378811417
331	0.3376525078
332	0.3374591419
333	0.3372430174
334	0.3370602354
335	0.3368585323
336	0.3367312717
337	0.3365637211
338	0.3363850648
339	0.3361601364
340	0.3359772774
341	0.3357304067
342	0.3355451951
343	0.3353284271
344	0.335190569
345	0.33495735
346	0.3347462288
347	0.3345368622
348	0.3343092302
349	0.3341510078
350	0.3339734515
351	0.3337787918
352	0.3336186655
353	0.3335001848
354	0.333265597
355	0.3330994562
356	0.3328895635
357	0.3326961799
358	0.332523339
359	0.3322938509
360	0.3320406067
361	0.3318603387
362	0.331729352
363	0.3315422186
364	0.331359709
365	0.3311527114
366	0.3309730174
367	0.3308181579
368	0.3306946843
369	0.3305457392
370	0.3303571729
371	0.3301638719
372	0.3299907114
373	0.3298348148
374	0.3295993163
375	0.3293805762
376	0.3292229732
377	0.329108372
378	0.3289379972
379	0.3287853898
380	0.3286547421
381	0.3285201262
382	0.3283134714
383	0.328132719
384	0.3278950127
385	0.3276387337
386	0.327404
387	0.3271777211
388	0.3270024238
389	0.3268036921
390	0.3266403935
391	0.3264190423
392	0.326074353
393	0.3258768646
394	0.3256143536
395	0.3254131649
396	0.3252305613
397	0.3250792427
398	0.3249789022
399	0.3248105448
400	0.3245906675
401	0.3244563911
402	0.3244344427
403	0.3242195137
404	0.3241017332
405	0.3239119629
406	0.3237355348
407	0.3235999136
408	0.3233992779
409	0.3231838001
410	0.3229608633
411	0.3228082597
412	0.3225703393
413	0.3223895625
414	0.3222542049
415	0.3220809754
416	0.3219032018
417	0.3217142768
418	0.3215227236
419	0.3212838288
420	0.3210835813
421	0.3209000295
422	0.3207887653
423	0.3206022147
424	0.3203845963
425	0.3202510621
426	0.3201216914
427	0.3199391351
428	0.3197645046
429	0.3196364145
430	0.3194731769
431	0.3192803585
432	0.3190720245
433	0.3189109808
434	0.3187194488
435	0.318549743
436	0.3183926023
437	0.3182009799
438	0.3180020972
439	0.3178748821
440	0.3177693427
441	0.3175849188
442	0.317444866
443	0.3173022985
444	0.3171242046
445	0.3169686582
446	0.3168705319
447	0.316659511
448	0.3164656251
449	0.3163082867
450	0.3161286758
451	0.3159771059
452	0.3157566603
